text,category
Meditation and yoga can improve mental health,Health
"Fruits, whole grains and vegetables helps control blood pressure",Health
These are the latest fashion trends for this week,Fashion
Vibrant color jeans for male are becoming a trend,Fashion
The concert starts at 7 PM tonight,Event
Navaratri dandiya program at Expo center in Mumbai this october,Event
Exciting vacation destinations for your next trip,Travel
Maldives and Srilanka are gaining popularity in terms of low budget vacation places,Travel
10 simple exercises to stay fit at home,Health
Organic foods that boost your immune system,Health
The rise of sustainable fashion: What's trending this season,Fashion
How to style your wardrobe for a casual weekend,Fashion
Book signing event by a bestselling author this weekend,Event
Art exhibition at the downtown gallery opens this Friday,Event
Top 10 destinations for a winter getaway,Travel
A guide to budget-friendly travel in Southeast Asia,Travel
Home remedies for common colds and flu,Health
Understanding the benefits of a balanced diet,Health
How meditation can reduce stress and anxiety,Health
The importance of regular physical activity in your daily routine,Health
The future of wearable technology in fashion,Fashion
How to choose the perfect outfit for a formal event,Fashion
The impact of social media on fashion trends,Fashion
A look at the latest runway collections for this season,Fashion
Jazz concert at the city park this Saturday,Event
Food festival featuring international cuisines next month,Event
Charity run for cancer awareness happening downtown,Event
Workshop on digital photography this weekend,Event
Exploring the best beaches in the Caribbean,Travel
Top 5 adventure travel destinations in South America,Travel
How to plan a budget-friendly European tour,Travel
Discovering the hidden gems of Japan,Travel
Yoga retreat in the mountains for a peaceful getaway,Travel
The latest fitness gadgets to enhance your workout,Health
Exploring the ethical side of fashion,Fashion
Free entry to the city museum on the first Monday of every month,Event
